CommitId;RefactoringType;RefactoringDetail
686e461d0822fba1d993fc7c9ba48639c0de31a4;Move Attribute;Move Attribute	package MAINTENANCE_SKIP_SLOTS : long from class org.tron.core.db.DynamicPropertiesStore to class org.tron.core.config.Parameter.ChainConstant
686e461d0822fba1d993fc7c9ba48639c0de31a4;Move Attribute;Move Attribute	package MAINTENANCE_SKIP_SLOTS : long from class org.tron.core.db.DynamicPropertiesStore to class org.tron.core.config.Parameter.ChainConstant
a10d54f767651f34fcd9320988c7217dc54583da;Rename Parameter;Rename Parameter	obj : Object to o : Object in method public equals(o Object) : boolean in class org.tron.common.runtime.vm.program.VMTransaction
2916b9c9c9fac010ec99bf4dc1bb11b55a73b148;Rename Class;Rename Class	org.tron.core.db2.common.CacheDB renamed to org.tron.core.db2.common.HashDB
333d4b288a4f0261fc0b9c9cf333fd2adeabba3e;Move Method;Move Method	private processProposals() : void from class org.tron.core.db.Manager to public processProposals(block BlockCapsule) : void from class org.tron.core.witness.ProposalController
e7a96f9ac975cf12826deb3406554b477a3afa82;Rename Method;Rename Method	public getEffectivePeriodTime() : long renamed to public getCreateTime() : long in class org.tron.core.capsule.ProposalCapsule
e7a96f9ac975cf12826deb3406554b477a3afa82;Rename Method;Rename Method	public setEffectivePeriodTime(time long) : void renamed to public setCreateTime(time long) : void in class org.tron.core.capsule.ProposalCapsule
1042dbce4c8144ba5716acc34505fc8c474afa05;Extract Method;Extract Method	public calculateDbKey(number long) : byte[] extracted from public createDbKey() : byte[] in class org.tron.core.capsule.ProposalCapsule
bee5308b98f804442d32b93a5993a3c99dbd4e2e;Rename Variable;Rename Variable	retBandwidth : TransactionResultCapsule to ret : TransactionResultCapsule in method public triggerContract(triggerSmartContract TriggerSmartContract, trxCap TransactionCapsule) : Transaction in class org.tron.core.Wallet
2478a5b4c7ec61e568313e50933d3e89b764440f;Extract And Move Method;Extract And Move Method	public getRet() : TransactionResultCapsule extracted from public precompiled() : void in class org.tron.common.runtime.Runtime & moved to class org.tron.common.runtime.vm.program.ProgramResult
9a40c2077c30b4bef76eb1263dc60c69ee2a2c06;Extract Method;Extract Method	public printBlockToJSON(block Block) : JSONObject extracted from public printBlock(block Block) : String in class org.tron.core.services.http.Util
9a40c2077c30b4bef76eb1263dc60c69ee2a2c06;Extract Method;Extract Method	public printTransactionToJSON(transaction Transaction) : JSONObject extracted from public printTransaction(transaction Transaction) : String in class org.tron.core.services.http.Util
8264730e5ed90d6dff54cced194bc7743f516e07;Rename Method;Rename Method	public getIsApproved() : boolean renamed to public getState() : int in class org.tron.core.capsule.ProposalCapsule
1cbcd6695ab8b079c9865aa89a1771dc6e166b0c;Rename Variable;Rename Variable	trx : Transaction to trxCap : TransactionCapsule in method public triggerContract(request Contract.TriggerSmartContract, responseObserver StreamObserver<Transaction>) : void in class org.tron.core.services.RpcApiService.WalletApi
297256c3d6987d97caf9388a2692f8443b34de47;Rename Variable;Rename Variable	jsonObject : JSONObject to jsonTransaction : JSONObject in method public printTransaction(transaction Transaction) : String in class org.tron.core.services.http.Util
da12d39a5f1aefddbfd30a7db5b74c60b51d4135;Extract Method;Extract Method	private easyTransfer(privateKey byte[], toAddress ByteString, amount long) : EasyTransferResponse extracted from public easyTransfer(req EasyTransferMessage, responseObserver StreamObserver<EasyTransferResponse>) : void in class org.tron.core.services.RpcApiService.WalletApi
8b7c4e6596f91bfb595fa67c084e7173590b6ef1;Inline Method;Inline Method	protected doGet(request HttpServletRequest, response HttpServletResponse) : void inlined to protected doPost(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.BroadcastServlet
8b7c4e6596f91bfb595fa67c084e7173590b6ef1;Inline Method;Inline Method	protected doGet(request HttpServletRequest, response HttpServletResponse) : void inlined to protected doPost(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.CreateAccountServlet
18f14a0f07c8d14c36c542a20baf43863e8b233f;Extract And Move Method;Extract And Move Method	public printTransaction(transaction Transaction) : String extracted from protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.UpdateAssetServlet & moved to class org.tron.core.services.http.Util
18f14a0f07c8d14c36c542a20baf43863e8b233f;Extract And Move Method;Extract And Move Method	public printTransaction(transaction Transaction) : String extracted from protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.UpdateWitnessServlet & moved to class org.tron.core.services.http.Util
18f14a0f07c8d14c36c542a20baf43863e8b233f;Extract And Move Method;Extract And Move Method	public printTransaction(transaction Transaction) : String extracted from protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.VoteWitnessAccountServlet & moved to class org.tron.core.services.http.Util
18f14a0f07c8d14c36c542a20baf43863e8b233f;Extract And Move Method;Extract And Move Method	public printTransaction(transaction Transaction) : String extracted from protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.WithdrawBalanceServlet & moved to class org.tron.core.services.http.Util
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	dbManager : Manager to deosit : Deposit in method public Runtime(tx Transaction, block Block, deosit Deposit, programInvokeFactory ProgramInvokeFactory) in class org.tron.common.runtime.Runtime
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	dbManager : Manager to deposit : DepositImpl in method public Runtime(tx Transaction, deposit DepositImpl, programInvokeFactory ProgramInvokeFactory) in class org.tron.common.runtime.Runtime
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public Runtime(tx Transaction, programInvokeFactory ProgramInvokeFactory, deposit Deposit) in class org.tron.common.runtime.Runtime
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Variable;Rename Variable	manager : Manager to deposit : Deposit in method public createContract(value DataWord, memStart DataWord, memSize DataWord) : void in class org.tron.common.runtime.vm.program.Program
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Variable;Rename Variable	manager : Manager to deposit : Deposit in method public callToAddress(msg MessageCall) : void in class org.tron.common.runtime.vm.program.Program
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public createProgramInvoke(trxType InternalTransaction.TrxType, executerType InternalTransaction.ExecuterType, tx Transaction, block Block, deposit Deposit) : ProgramInvoke in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeFactoryImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public createProgramInvoke(program Program, toAddress DataWord, callerAddress DataWord, inValue DataWord, balanceInt long, dataIn byte[], deposit Deposit, isStaticCall boolean, byTestingSuite boolean) : ProgramInvoke in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeFactoryImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public ProgramInvokeImpl(address DataWord, origin DataWord, caller DataWord, balance DataWord, callValue DataWord, msgData byte[], lastHash DataWord, coinbase DataWord, timestamp DataWord, number DataWord, difficulty DataWord, deposit Deposit, callDeep int, isStaticCall boolean, byTestingSuite boolean) in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public ProgramInvokeImpl(address byte[], origin byte[], caller byte[], balance long, callValue byte[], msgData byte[], lastHash byte[], coinbase byte[], timestamp long, number long, deposit Deposit, byTestingSuite boolean) in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Parameter;Rename Parameter	manager : Manager to deposit : Deposit in method public ProgramInvokeImpl(address byte[], origin byte[], caller byte[], balance long, callValue byte[], msgData byte[], lastHash byte[], coinbase byte[], timestamp long, number long, deposit Deposit) in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Rename Method;Rename Method	public getDbManager() : Manager renamed to public getDeposit() : Deposit in class org.tron.common.runtime.vm.program.invoke.ProgramInvokeMockImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Attribute;Move Attribute	private dbManager : Manager from class org.tron.common.runtime.Runtime to class org.tron.common.runtime.DepositController
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Attribute;Move Attribute	private dbManager : Manager from class org.tron.common.runtime.Runtime to class org.tron.common.storage.DepositImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Attribute;Move Attribute	private dbManager : Manager from class org.tron.common.runtime.vm.program.Storage to class org.tron.common.runtime.DepositController
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Attribute;Move Attribute	private dbManager : Manager from class org.tron.common.runtime.vm.program.invoke.ProgramInvokeImpl to class org.tron.common.runtime.DepositController
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Attribute;Move Attribute	private dbManager : Manager from class org.tron.common.runtime.vm.program.invoke.ProgramInvokeMockImpl to class org.tron.common.storage.DepositImpl
ffd22fac97aaac8d451710c78b62c71c2ce221c4;Move Method;Move Method	public getDbManager() : Manager from class org.tron.common.runtime.vm.program.invoke.ProgramInvokeImpl to public getDbManager() : Manager from class org.tron.common.storage.DepositImpl
71dcd9a8a7662c544cf34caab3143fd4bfb0f898;Move Class;Move Class	org.tron.core.services.SolidityNodeHttpApiService moved to org.tron.core.services.http.solidity.SolidityNodeHttpApiService
71dcd9a8a7662c544cf34caab3143fd4bfb0f898;Rename Class;Rename Class	org.tron.core.services.http.solidity.GetTransactionByIdServlet renamed to org.tron.core.services.http.solidity.GetTransactionByIdSolidityServlet
779159d9b42327a0c829dac08f556b3554194aab;Rename Variable;Rename Variable	tx : Transaction to reply : Transaction in method protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.GetTransactionFromSolidityServlet
779159d9b42327a0c829dac08f556b3554194aab;Rename Variable;Rename Variable	retur : TransactionCapsule to reply : TransactionCapsule in method protected doGet(request HttpServletRequest, response HttpServletResponse) : void in class org.tron.core.services.http.TransactionSignServlet
4c2d8a7484b522256bcc0dc041bcce4b1a20208e;Move Class;Move Class	org.tron.core.services.http.SolidityNodeHttpApiService moved to org.tron.core.services.SolidityNodeHttpApiService
4c2d8a7484b522256bcc0dc041bcce4b1a20208e;Move And Rename Class;Move And Rename Class	org.tron.core.services.http.GetTransactionFromSolidityServlet moved and renamed to org.tron.core.services.http.solidity.GetTransactionsFromThisServlet
d93bb010a47bee888fff9ea5d54c909348c83122;Rename Class;Rename Class	org.tron.core.services.http.GetTransactionServlet renamed to org.tron.core.services.http.GetTransactionFromSolidityServlet
755206aa2df8e570a0c13fef5088ac716f2d0918;Rename Class;Rename Class	org.tron.core.services.http.AccountServlet renamed to org.tron.core.services.http.GetAccountServlet
