CommitId;RefactoringType;RefactoringDetail
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onNextNull() : void from class io.reactivex.subjects.UnicastSubjectTest to public onNextNull() : void from class io.reactivex.subjects.SubjectTest
7ba9a3e04aeee3ab691002997e82e55fec40e495;Pull Up Method;Pull Up Method	public onErrorNull() : void from class io.reactivex.subjects.UnicastSubjectTest to public onErrorNull() : void from class io.reactivex.subjects.SubjectTest
d2fe631f3f05dd12eac2b8e53d6525e9acb474a3;Extract Method;Extract Method	package createSubscriber(i int, subscribers Subscriber<? super T>[], parents Subscriber<T>[], worker Scheduler.Worker) : void extracted from public subscribe(subscribers Subscriber<? super T>[]) : void in class io.reactivex.internal.operators.parallel.ParallelRunOn
0a6c9f5bdce537c88e8215f72176195e6f512602;Move Method;Move Method	public disposedOnArrival() : void from class io.reactivex.internal.operators.observable.ObservableFromCompletableTest to public disposedOnArrival() : void from class io.reactivex.internal.operators.observable.ObservableFromCallableTest
0a6c9f5bdce537c88e8215f72176195e6f512602;Move Method;Move Method	public disposedOnCall() : void from class io.reactivex.internal.operators.observable.ObservableFromCompletableTest to public disposedOnCall() : void from class io.reactivex.internal.operators.observable.ObservableFromCallableTest
0a6c9f5bdce537c88e8215f72176195e6f512602;Move Method;Move Method	public disposedOnCallThrows() : void from class io.reactivex.internal.operators.observable.ObservableFromCompletableTest to public disposedOnCallThrows() : void from class io.reactivex.internal.operators.observable.ObservableFromCallableTest
0a6c9f5bdce537c88e8215f72176195e6f512602;Move Method;Move Method	public take() : void from class io.reactivex.internal.operators.observable.ObservableFromCompletableTest to public take() : void from class io.reactivex.internal.operators.observable.ObservableFromCallableTest
da922d22ba731663d57abd23f468c92c5ddfe72d;Move Source Folder;Move Source Folder	src/perf to src/jmh
ad8ca8e587be6f7836e5c76707248ac955af54e3;Extract Method;Extract Method	public delay(time long, unit TimeUnit, scheduler Scheduler, delayError boolean) : Single<T> extracted from public delay(time long, unit TimeUnit, scheduler Scheduler) : Single<T> in class io.reactivex.Single
ea7ca2c81573c56274163ad3e51d8cc07573e170;Inline Method;Inline Method	package cancel(q SpscLinkedArrayQueue<?>) : void inlined to package drain() : void in class io.reactivex.internal.operators.observable.ObservableCombineLatest.LatestCoordinator
ea7ca2c81573c56274163ad3e51d8cc07573e170;Inline Method;Inline Method	package checkTerminated(d boolean, empty boolean, a Observer<?>, q SpscLinkedArrayQueue<?>, delayError boolean) : boolean inlined to package drain() : void in class io.reactivex.internal.operators.observable.ObservableCombineLatest.LatestCoordinator
09df08a93165895fb23fea2a39aeb8e00dfb1e3c;Extract Method;Extract Method	public tryOnNext(t T) : boolean extracted from public onNext(t T) : void in class io.reactivex.internal.operators.flowable.FlowableWithLatestFrom.WithLatestFromSubscriber
09df08a93165895fb23fea2a39aeb8e00dfb1e3c;Extract Method;Extract Method	public tryOnNext(t T) : boolean extracted from public onNext(t T) : void in class io.reactivex.internal.operators.flowable.FlowableWithLatestFromMany.WithLatestFromSubscriber
09df08a93165895fb23fea2a39aeb8e00dfb1e3c;Rename Method;Rename Method	public testSingleRequestNotForgottenWhenNoData() : void renamed to public singleRequestNotForgottenWhenNoData() : void in class io.reactivex.internal.operators.flowable.FlowableWithLatestFromTest
81fe956dc0100dc5b0b5101669a8c326f930f93e;Rename Method;Rename Method	public add(value T) : void renamed to public next(value T) : void in class io.reactivex.processors.ReplayProcessor.UnboundedReplayBuffer
81fe956dc0100dc5b0b5101669a8c326f930f93e;Rename Method;Rename Method	public add(value T) : void renamed to public next(value T) : void in class io.reactivex.processors.ReplayProcessor.SizeBoundReplayBuffer
81fe956dc0100dc5b0b5101669a8c326f930f93e;Rename Method;Rename Method	public add(value T) : void renamed to public next(value T) : void in class io.reactivex.processors.ReplayProcessor.SizeAndTimeBoundReplayBuffer
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public flowableFlowable() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public flowableSingle() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public flowableMaybe() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public flowableCompletable() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public flowableCompletable2() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public observableFlowable() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public observerSingle() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public observerMaybe() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public observerCompletable() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public observerCompletable2() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public singleSingle() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public singleMaybe() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public singleCompletable() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public singleCompletable2() : void in class io.reactivex.XFlatMapTest
f64fdd9b3a20db35c492d096de81e63fba25ac16;Extract Method;Extract Method	package beforeCancelSleep(ts BaseTestConsumer<?,?>) : void extracted from public maybeSingle() : void in class io.reactivex.XFlatMapTest
